固定地图 / 0.35m 半径、1.8m 高胶囊 / 5.4m/s；仅验证通行，不代表玩家全套动作验收。
空网格=0
路线 1 PASS | 17.3 s | 节点 4 | 位置 (-62.8828, -1.194656, 14.19265)
路线 2 PASS | 25.1 s | 节点 5 | 位置 (4.966147, 4.820868, -51.75872)
路线 3 PASS | 24.2 s | 节点 6 | 位置 (99.96003, 0.833189, 9.207888)
路线 4 PASS | 22.8 s | 节点 4 | 位置 (47.73472, 1.827711, 48.02296)
路线 5 PASS | 45.0 s | 节点 10 | 位置 (99.95285, 0.820882, 9.241615)
路线 6 PASS | 26.4 s | 节点 6 | 位置 (99.95216, 0.820881, 9.245459)
路线 7 PASS | 14.8 s | 节点 14 | 位置 (64.98122, 5.700875, 26.73377)
路线 8 PASS | 3.3 s | 节点 3 | 位置 (48.17255, 1.900875, 41.90792)
路线 9 PASS | 14.2 s | 节点 14 | 位置 (38.26204, 1.900875, 31.94489)
路线 10 PASS | 2.9 s | 节点 3 | 位置 (-60.0, -1.099125, -4.794481)
路线 11 PASS | 7.2 s | 节点 5 | 位置 (33.00737, 1.900875, 15.22311)
路线 12 PASS | 18.7 s | 节点 14 | 位置 (5.239356, 17.17587, -70.9902)
路线 13 PASS | 17.1 s | 节点 14 | 位置 (4.988538, 4.830874, -58.22842)
